,Date,Player,Item,DKP
2826,6/28,Bli,The Hungering Cold,1244
3144,8/23,Koneko,"Gressil, Dawn of Ruin",1235
2981,7/26,Bill,"Gressil, Dawn of Ruin",1226
2956,7/19,Manowar,The Hungering Cold,1223
2870,7/5,Dolphin,Kiss of the Spider,1220
2748,6/14,Haka,"Gressil, Dawn of Ruin",1216
2576,5/18,Brockstar,Neltharion's Tear,1202
2729,6/8,Iggsy,Gauntlets of Annihilation,1200
3252,,Clonk,The Hungering Cold,1185
3022,8/2,Chihua,The Hungering Cold,1180
1639,12/28,Rogueisme,"Gressil, Dawn of Ruin",1171
2656,5/31,Tunasubgg,Slayer's Crest,1169
1602,12/22,Ahimelech,Scarab Brooch,1134
2806,6/21,Nineteenxx,Slayer's Crest,1127
2517,5/10,Rogueisme,Slayer's Crest,1108
1932,1/26,Dane,Belt of Never-Ending Agony,1100
1778,1/11,Tunasubgg,Kiss of the Spider,1095
1298,,Ismagu,"Gressil, Dawn of Ruin",1090
2953,7/19,Pookster,Kiss of the Spider,1081
2088,2/22,Mano,Kiss of the Spider,1058
3026,8/2,Malekk,Slayer's Crest,1055
2831,6/28,Gauss,Slayer's Crest,1036
1961,2/1,Saya,"Gressil, Dawn of Ruin",1028
1896,1/25,Shaq,Eye of the Dead,1015
763,,Rowaijne,Corrupted Ashbringer,1000
1777,1/11,Hadria,Eye of the Dead,1000
1912,1/25,Rella,Kiss of the Spider,999
1454,,Virahl,Kiss of the Spider,994
2362,4/12,Nezzie,DOOMFINGER,993
3255,,Iggy,Slayer's Crest,991
2903,7/12,Brockstar,The Restrained Essence of Sapphiron,986
2675,6/1,Hadria,Boots of Pure Thought,970
915,,Dane,"Gressil, Dawn of Ruin",960
1632,12/28,Kibbles,Rime Covered Mantle,959
2240,3/22,Plated,Might of Menethil,955
3084,8/10,Sobie,Drake Fang Talisman,948
2014,2/8,Ismagu,Kiss of the Spider,936
1656,12/29,Keen,Neltharion's Tear,932
2013,2/8,Kazik,Band of Unnatural Forces,917
2804,6/21,Flixter,Cloak of the Necropolis,903
1597,12/22,Mano,Gauntlets of Annihilation,902
3070,8/9,Gaussqt,Fortitude of the Scourge,898
3241,8/31,Skylarke,Shard of the Fallen Stare,876
1067,,Jimbodin,Eye of the Dead,875
2708,6/7,Ezekyle,Doomfinger,872
2464,4/27,Morty,Ring of Qiraji Fury,870
2127,3/1,Fatjaws,Shroud of Dominion,860
2169,3/8,Varros,Might of Menethil,860
1644,12/28,Oom,The Restrained Essence of Sapphiron,856
1708,1/4,Rowaine,Gem of Trapped Innocents,853
1063,,Shaq,Hammer of the Twisting Nether,850
1366,,Weirdobeardo,Nerubian Slavemaker,849
2443,4/26,Nieth,Cloak of the Necropolis,840
2012,2/8,Hamtaro,Eye of the Dead,839
2183,3/8,Dane,Band of Unnatural Forces,835
3258,,Ezekyle,Seal of the Damned,831
2045,2/15,Kibbles,Doomfinger,829
3027,8/2,Prastinna,Eye of the Dead,828
2655,5/31,Kibbles,Eye of the Dead,822
2044,2/15,Morty,"Gressil, Dawn of Ruin",819
2324,4/5,Ezekyle,Cloak of the Necropolis,815
556,,Flixter,Leggings of Polarity,808
1804,1/12,Fatjaws,Death's Sting,801
1299,,Zhenduo,Hammer of the Twisting Nether,800
572,,Spicy,"Gressil, Dawn of Ruin",800
2107,2/23,Rogueisme,Drake Fang Talisman,794
1707,1/4,Dolphin,Kingsfall,793
438,,Hetfield,Cloak of the Necropolis,791
1309,,Jacckal,Band of Unnatural Forces,783
2516,5/10,Zaek,Cloak of the Necropolis,780
2623,5/24,Raphael,Corrupted Ashbringer,777
2128,3/1,Nightsummon,Cloak of the Necropolis,767
571,,Varros,Kiss of the Spider,761
1142,,Hamtaro,Hammer of the Twisting Nether,759
2245,3/22,Chihua,Corrupted Ashbringer,753
1966,2/1,Virahl,Slayer's Crest,751
2478,5/3,Yumi,Hammer of the Twisting Nether,750
2815,6/22,Sobie,Jom Gabbar,750
914,,Yumiki,Hammer of the Twisting Nether,744
2302,3/30,Sandi,Gauntlets of Annihilation,743
2085,2/22,Shaq,Sapphiron's Right Eye,740
2711,6/7,Nightsummon,The Restrained Essence of Sapphiron,739
1962,2/1,Tofra,Gem of Trapped Innocents,733
1039,,Plated,Gauntlets of Annihilation,732
2961,7/19,Lightbournne,Eye of the Dead,730
2463,4/27,Skylarke,Vanquished Tentacle of C'Thun,727
675,,Xorkal,"Gressil, Dawn of Ruin",726
2377,4/13,Tofra,Scarab Brooch,723
2398,4/19,Freightdawg,Slayer's Crest,720
2266,3/23,Hamtaro,Drake Fang Talisman,716
3075,8/9,Hadria,Cloak of Suturing,711
1481,,Lucen,Eyestalk Waist Cord,707
1510,,Jimbo,Cloak of the Necropolis,705
2274,3/23,Kibblers,Robes of Volatile Power,702
1596,12/22,Yumi,Dark Storm Gauntlets,701
878,,Hetfield,Eyestalk Waist Cord,700
2397,4/19,Keen,Cloak of the Necropolis,700
770,,Ahimelech,Hammer of the Twisting Nether,700
2792,6/15,Ashula,Choker of the Fire Lord,696
2908,7/12,Tuna,"Iblis, Blade of the Fallen Seraph",696
1347,,Ezekyle,Dark Storm Gauntlets,694
1651,12/28,Haka,Wristguards of Vengeance,694
1779,1/11,Jack,Slayer's Crest,692
2866,7/5,Ahimelech,Eye of the Dead,692
3068,8/9,Nuranfu,Shroud of Dominion,691
1988,2/2,Nieth,Empowered Leggings,690
2361,4/12,Jack,Kingsfall,689
2562,5/17,Sillysunders,"Iblis, Blade of the Fallen Seraph",683
444,,Kibbles,Hammer of the Twisting Nether,676
3233,8/31,Malekk,Gauntlets of Annihilation,674
2458,4/27,Mallanim,Death's Sting,669
2909,7/12,Valerick,Plated Abomination Ribcage,669
2079,2/22,Jimbo,Gem of Trapped Innocents,667
2093,2/22,Flixter,Rime Covered Mantle,652
2628,5/25,Blackstabath,Death's Sting,650
1913,1/25,Haka,Legplates of Carnate,650
2047,2/15,Nuranfu,Slayer's Crest,636
856,,Hunten,Nerubian Slavemaker,636
2922,7/13,Hadria,Empowered Leggings,633
2396,4/19,Silly,Stormrage's Talisman of Seething,633
767,,Blackstabath,Slayer's Crest,627
440,,Oom,Power of the Scourge,624
2015,2/8,Nineteenxx,Legplates of Carnate,618
2379,4/13,Fatjaws,AQR,615
419,,Todger,Rime Covered Mantle,613
2618,5/24,Prastinna,Hammer of the Twisting Nether,612
3065,8/9,Manowar,Might of Menethil,612
2813,6/22,Rogueisme,Belt of Never-Ending Agony,612
3043,8/3,Hamtaro,Belt of Never-Ending Agony,610
2612,5/24,Gotnugs,Band of Unnatural Forces,605
1963,2/1,Oom,Phylactery,600
2170,3/8,Raphael,Hammert of the Twisting Nether,600
2110,2/23,Throndil,Rejuvinating Gem,600
2723,6/7,Shredz,"Iblis, Blade of the Fallen Seraph",600
2980,7/26,Mini Suzuki,Hammer of the Twisting Nether,600
3145,8/23,Tuko,Hammer of the Twisting Nether,600
3230,8/30,Hadria,Hammer of the Twisting Nether,599
2974,7/20,Silly,Scarab Brooch,590
1810,1/12,Sillysunders,Ancient Qiraji Ripper,584
3042,8/3,Pookster,Gauntlets of Annihilation,583
1174,,Fatjaws,Badge of the swarmguard,581
3149,8/23,Merlin,Cloak of the Necropolis,580
1716,1/4,Tofra,Leggings of Polarity,576
2848,6/28,Ezekyle,Rime Covered Mantle,575
2084,2/22,Saya,Slayer's Crest,572
645,,Plated,Kiss of the Spider,571
2797,6/21,Silly,Band of Unnatural Forces,569
2871,7/5,inuyasha,"Iblis, Blade of the Fallen Seraph",565
1064,,Hadria,Ring of Faith,563
1210,,Raphaerl,Might of Menethil,560
3261,,Mano,Band of Unnatural Forces,556
3236,8/31,Glowork,Scarab Brooch,555
1807,1/12,Glowork,Badge of the Swarmguard,555
2863,7/5,Haka,Might of Menethil,550
2246,3/22,Silly,Castigator,550
1451,,Haka,Shroud of Dominion,550
2855,6/29,Prastinna,Rejuvinating Gem,550
1155,,Varros,Band of Unnatural Forces,550
511,,Alishia,Gauntlets of Annihilation,547
3152,8/23,Mallanim,"Iblis, Blade of the Fallen Seraph",546
2288,3/29,Nineteen,Girdle of the Mentor,545
2661,5/31,Rogueisme,Band of Unnatural Forces,540
2719,6/7,Nuranfu,Band of Unnatural Forces,536
2423,4/20,Aetherium,Chromatic Boots,530
2751,6/14,Raphael,Shroud of Dominio,528
2500,5/4,Malekk,Chromatic Boots,526
1216,,Kookeyz ,Cloak of the Necropolis,526
850,,Varros,Slayer's Crest,524
1805,1/12,Remembrancer,Sceptor of the False Prophet,524
2378,4/13,Glowork,Jom Gabbar,522
1567,12/21,Varros,Cloak of the Necropolis,520
2305,3/30,Vav,Scarab Brooch,519
2126,3/1,Nineteenxx,"Iblis, Blade of the Fallen Seraph",518
2145,3/2,Rocksteady,Death's Sting,514
1710,1/4,Jimbo,The Restrained Essence of Sapphiron,511
673,,Boenita,Sapphiron's Left Eye,511
771,,Wumbo,Might of Menethil,511
1369,,Tofra,Wraith Blade,510
1062,,Haka,Kingsfall,508
2715,6/7,Todger,Leggings of Polarity,505
2281,3/29,Kazic,Stormrage's Talisman of Seething,504
3083,8/10,Bombkush,Chromatic Boots,502
1849,1/18,Nuranfu,Maul of the Redeemed Crusader,501
2488,5/3,Ismagu,"Iblis, Blade of the Fallen Seraph",501
2304,3/30,Darkphate,Jom Gabbar,500
3251,,Chihua,Hammer of the Twisting Nether,500
1219,,Jimbo,Leggings of Polarity,500
3074,8/9,Gamuza,"Iblis, Blade of the Fallen Seraph",500
543,,Ezekyle,Restrained Essence of Sapph,500
294,,Dane,Kiss of the Spider,498
1598,12/22,Sandi,Badge of the Swarmguard,492
2556,5/17,Respira,Nerubian Slavemaker,488
2962,7/19,Vermora,Shroud of Dominion,486
2016,2/8,Respiras,"Iblis, Blade of the Fallen Seraph",485
1483,,Hashie,Badge of the Swarmguard,483
2242,3/22,Kazik,Shroud of Dominion,481
1986,2/2,Ahi,Onslaught Girdle,481
575,,Shaq,Ring of Faith,480
442,,Rogueisme,bonescythe ring,478
2816,6/22,Nightsurviv,Bracelets of Royal Redemption,470
1071,,Rella,Corrupted Ashbringer,469
1304,,Flixter,Sapphiron's Left Eye,467
2054,2/15,Lorn,Band of Unnatural Forces,466
1846,1/18,Nightsummon,Leggings of Polarity,465
2736,6/8,Holyskanks,scarab brooch,465
672,,Haka,Band of Unnatural Forces,462
2741,6/8,blackstabath,cloak of concentrated hatred,460
2204,3/15,Throndil,Might of Menethil,460
1806,1/12,Keen,Burrower's Shell,458
2224,3/16,Nightsummon,Amulet of Vek'nilash,453
